district_id,id,pcode,population,mosques,mosquedens
Sefaatli,878,TUR066011,15135,64,4.22
Yenifakili,879,TUR066012,5538,18,3.25
Yerkoy,880,TUR066013,35561,95,2.67
Merkez66,881,TUR066014,105167,177,1.68
Alapli,882,TUR067001,44286,126,2.84
Caycuma,883,TUR067002,91569,337,3.68
Devrek,884,TUR067003,57540,337,5.85
Eregli,885,TUR067004,175605,343,1.95
Gokcebey,886,TUR067005,21655,96,4.43
Kilimli,887,TUR067006,35323,51,1.44
Kozlu,888,TUR067007,48381,83,1.71
Merkez67,889,TUR067008,125339,150,1.19
Agacoren,890,TUR068001,8320,38,4.56
Aksaray,891,TUR068002,295351,306,1.03
Eskil,892,TUR068003,26648,104,3.9
Gulagac,893,TUR068004,19903,35,1.75
Guzelyurt,894,TUR068005,11761,25,2.12
Ortakoy,895,TUR068006,32504,75,2.3
Sariyahsi,896,TUR068007,6801,11,1.61
Sultanhani,897,TUR068008,10884,17,1.56
Aydintepe,898,TUR069001,6984,36,5.15
Bayburt,899,TUR069002,66633,188,2.82
Demirozu,900,TUR069003,8657,32,3.69
Ayranci,901,TUR070001,8338,42,5.03
Basyayla,902,TUR070002,3717,13,3.49
Ermenek,903,TUR070003,28832,99,3.43
Karaman,904,TUR070004,194018,314,1.61
Kazimkarabekir,905,TUR070005,4407,17,3.85
Sariveliler,906,TUR070006,12601,31,2.46
Bahsili,907,TUR071001,7907,12,1.51
Baliseyh,908,TUR071002,7221,32,4.43
Celebi,909,TUR071003,3024,16,5.29
Delice,910,TUR071004,10017,52,5.19
Karakecili,911,TUR071005,3810,6,1.57
Keskin,912,TUR071006,18139,74,4.07
Kırıkkale,913,TUR071007,196645,135,.68
Sulakyurt,914,TUR071008,8531,27,3.16
Yahsihan,915,TUR071009,31308,24,.76
Batman,916,TUR072001,447106,237,.53
Besiri,917,TUR072002,30445,82,2.69
Gercus,918,TUR072003,20484,89,4.34
Hasankeyf,919,TUR072004,6724,24,3.56
Kozluk,920,TUR072005,61437,166,2.7
Sason,921,TUR072006,32907,93,2.82
Beytussebab,922,TUR073001,17227,39,2.26
Cizre,923,TUR073002,143124,147,1.02
Guclukonak,924,TUR073003,13091,24,1.83
Idil,925,TUR073004,76523,118,1.54
Silopi,926,TUR073005,134754,104,.77
Sirnak ,927,TUR073006,93431,80,.85
Uludere,928,TUR073007,46040,47,1.02
Amasra,929,TUR074001,14776,63,4.26
Bartin,930,TUR074002,155016,465,2.99
Kurucasile,931,TUR074003,6874,31,4.5
Ulus,932,TUR074004,22333,230,10.29
Ardahan,933,TUR075001,42226,86,2.03
Cildir,934,TUR075002,9833,35,3.55
Damal,935,TUR075003,5802,2,.34
Gole,936,TUR075004,25187,66,2.62
Hanak,937,TUR075005,9054,28,3.09
Posof,938,TUR075006,6805,63,9.25
Aralik,939,TUR076001,21311,28,1.31
Igdir,940,TUR076002,137613,118,.85
Karakoyunlu,941,TUR076003,13972,28,2
Tuzluca,942,TUR076004,24560,79,3.21
Altinova,943,TUR077001,28232,33,1.16
Armutlu,944,TUR077002,9625,16,1.66
Ciftlikkoy,945,TUR077003,39110,23,.58
Cinarcik,946,TUR077004,34076,25,.73
Termal,947,TUR077005,6784,11,1.62
Yalova,948,TUR077006,144407,60,.41
Eflani,949,TUR078001,9088,141,15.51
Eskipazar,950,TUR078002,13185,156,11.83
Karabuk,951,TUR078003,131989,209,1.58
Ovacık,952,TUR078004,5085,102,20.05
Safranbolu,953,TUR078005,67042,225,3.35
YeniceZ,954,TUR078006,21625,140,6.47
Elbeyli,955,TUR079001,6526,27,4.13
Kilis,956,TUR079002,116034,121,1.04
Musabeyli,957,TUR079003,14620,60,4.1
Polateli,958,TUR079004,5361,20,3.73
Bahçe,959,TUR080001,22242,54,2.42
Düziçi,960,TUR080002,83971,134,1.59
Hasanbeyli,961,TUR080003,5341,18,3.37
Kadirli,962,TUR080004,124053,155,1.24
Osmaniye,963,TUR080005,264373,171,.64
Sumbas,964,TUR080006,14308,36,2.51
Toprakkale,965,TUR080007,20127,17,.84
Akcakoca,966,TUR081001,38846,81,2.08
Cumayeri,967,TUR081002,14895,41,2.75
Cilimli,968,TUR081003,20266,38,1.87
Duzce,969,TUR081004,240633,295,1.22
Golyaka,970,TUR081005,20353,56,2.75
Gumusova,971,TUR081006,15647,35,2.23
Kaynasli,972,TUR081007,20772,59,2.84
Yigilca,973,TUR081008,16432,80,4.86
