district_id,id,pcode,population,mosques,mosquedens
Kadikoy,444,TUR034023,458638,68,.14
Kagithane,445,TUR034024,437026,82,.18
Kartal,446,TUR034025,461155,83,.17
Kucukcekmece,447,TUR034026,770317,100,.12
Maltepe,448,TUR034027,497034,83,.16
Pendik,449,TUR034028,693599,146,.21
Sancaktepe,450,TUR034029,414143,73,.17
Sariyer,451,TUR034030,342503,115,.33
Silivri,452,TUR034031,187621,62,.33
Sultanbeyli,453,TUR034032,327798,114,.34
Sultangazi,454,TUR034033,523765,69,.13
Sile,455,TUR034034,36516,107,2.93
Sisli,456,TUR034035,274289,57,.2
Tuzla,457,TUR034036,255468,73,.28
Umraniye,458,TUR034037,690193,148,.21
Uskudar,459,TUR034038,529145,196,.37
Zeytinburnu,460,TUR034039,284935,83,.29
Aliaga,461,TUR035001,95392,56,.58
Balcova,462,TUR035002,79357,14,.17
Bayindir,463,TUR035003,40584,73,1.79
Bayrakli,464,TUR035004,311524,64,.2
Bergama,465,TUR035005,103185,171,1.65
Beydag,466,TUR035006,12507,38,3.03
Bornova,467,TUR035007,445232,108,.24
Buca,468,TUR035008,499325,93,.18
Cesme,469,TUR035009,43489,25,.57
Cigli,470,TUR035010,194525,36,.18
Dikili,471,TUR035011,44172,41,.92
Foca,472,TUR035012,33131,15,.45
Gaziemir,473,TUR035013,137553,29,.21
Guzelbahce,474,TUR035014,32592,10,.3
Karabaglar,475,TUR035015,479986,85,.17
Karaburun,476,TUR035016,10603,26,2.45
Karsiyaka,477,TUR035017,344140,36,.1
Kemalpasa,478,TUR035018,106298,71,.66
Kinik,479,TUR035019,29803,51,1.71
Kiraz,480,TUR035020,43989,98,2.22
Merkez35,481,TUR035021,356563,153,.42
Menderes,482,TUR035022,93796,66,.7
Menemen,483,TUR035023,174564,73,.41
Narlidere,484,TUR035024,66203,10,.15
Odemis,485,TUR035025,132511,180,1.35
Seferihisar,486,TUR035026,43546,27,.62
Selcuk,487,TUR035027,36360,25,.68
Tire,488,TUR035028,84457,128,1.51
Torbali,489,TUR035029,178772,74,.41
Urla,490,TUR035030,66360,43,.64
Akyaka,491,TUR036001,10985,33,3
Arpacay,492,TUR036002,17373,53,3.05
Digor,493,TUR036003,22282,48,2.15
Kagizman,494,TUR036004,45936,81,1.76
Merkez36,495,TUR036005,115891,130,1.12
Sarikamis,496,TUR036006,42683,79,1.85
Selim,497,TUR036007,23231,58,2.49
Susuz,498,TUR036008,10497,35,3.33
Abana,499,TUR037001,4248,23,5.41
Agli,500,TUR037002,3196,46,14.39
Arac,501,TUR037003,18863,213,11.29
Azdavay,502,TUR037004,7726,88,11.39
Bozkurt,503,TUR037005,9920,82,8.26
Cide,504,TUR037006,23329,188,8.050000000000001
Catalzeytin,505,TUR037007,7035,87,12.36
Daday,506,TUR037008,8749,153,17.48
Devrekani,507,TUR037009,13482,147,10.9
Doganyurt,508,TUR037010,6153,65,10.56
Hanonu,509,TUR037011,4156,53,12.75
Ihsangazi,510,TUR037012,5469,76,13.89
Inebolu,511,TUR037013,21738,167,7.68
Merkez37,512,TUR037014,148931,459,3.08
Kure,513,TUR037015,6119,61,9.960000000000001
PinarbasiK,514,TUR037016,6020,79,13.12
Seydiler,515,TUR037017,4143,57,13.75
Senpazar,516,TUR037018,5002,66,13.19
Taskopru,517,TUR037019,38849,298,7.67
Tosya,518,TUR037020,40245,189,4.69
Akkisla,519,TUR038001,6429,19,2.95
Bunyan,520,TUR038002,31497,59,1.87
Develi,521,TUR038003,65322,109,1.66
Felahiye,522,TUR038004,6602,20,3.02
Hacilar,523,TUR038005,12426,67,5.39
Incesu,524,TUR038006,26353,64,2.42
Kocasinan,525,TUR038007,391661,246,.62
Merkez38,526,TUR038008,555671,304,.54
Ozvatan,527,TUR038009,5413,17,3.14
Pinarbasi,528,TUR038010,26911,142,5.27
Sarioglan,529,TUR038011,16938,35,2.06
Sariz,530,TUR038012,10098,44,4.35
Talas,531,TUR038013,157695,78,.49
Tomarza,532,TUR038014,22808,71,3.11
Yahyali,533,TUR038015,36331,82,2.25
Yesilhisar,534,TUR038016,17525,43,2.45
Babaeski,535,TUR039001,48391,45,.92
Demirkoy,536,TUR039002,9093,22,2.41
Merkez39,537,TUR039003,102909,82,.79
Kofcaz,538,TUR039004,2368,17,7.17
Luleburgaz,539,TUR039005,148037,67,.45
Pehlivankoy,540,TUR039006,3565,11,3.08
Pinarhisar,541,TUR039007,18375,22,1.19
Vize,542,TUR039008,28122,37,1.31
Akcakent,543,TUR040001,4229,27,6.38
Akpinar,544,TUR040002,7826,42,5.36
Boztepe,545,TUR040003,5581,22,3.94
Cicekdagi,546,TUR040004,14735,70,4.75
Kaman,547,TUR040005,37223,99,2.65
Merkez40,548,TUR040006,153511,165,1.07
Mucur,549,TUR040007,18763,78,4.15
Basiskele,550,TUR041001,97817,80,.8100000000000001
Cayirova,551,TUR041002,129655,41,.31
Darica,552,TUR041003,201468,49,.24
Derince,553,TUR041004,140982,77,.54
Dilovasi,554,TUR041005,47948,35,.72
Gebze,555,TUR041006,371000,33,.08
Golcuk,556,TUR041007,162584,92,.5600000000000001
Merkez41,557,TUR041008,363416,245,.67
Kandira,558,TUR041009,51348,59,1.14
Karamursel,559,TUR041010,56604,50,.88
Kartepe,560,TUR041011,118066,82,.6899999999999999
Korfez,561,TUR041012,165503,85,.51
Ahirli,562,TUR042001,5084,24,4.72
Akoren,563,TUR042002,5879,26,4.42
Aksehir,564,TUR042003,93233,46,.49
Altinekin,565,TUR042004,14548,53,3.64
Beysehir,566,TUR042005,73768,149,2.01
Bozkir,567,TUR042006,26287,122,4.64
Cihanbeyli,568,TUR042007,52525,105,1.99
Celtik,569,TUR042008,10071,25,2.48
Cumra,570,TUR042009,66794,141,2.11
Derbent,571,TUR042010,4455,17,3.81
Derebucak,572,TUR042011,6473,17,2.62
Doganhisar,573,TUR042012,16029,54,3.36
Emirgazi,574,TUR042013,8949,30,3.35
EregliK,575,TUR042014,145389,192,1.32
Guneysinir,576,TUR042015,9458,37,3.91
Hadim,577,TUR042016,11970,72,6.01
Halkapinar,578,TUR042017,4354,22,5.05
Huyuk,579,TUR042018,16073,56,3.48
Ilgin,580,TUR042019,54622,122,2.23
Kadinhani,581,TUR042020,33036,90,2.72
Karapinar,582,TUR042021,49766,94,1.88
Karatay,583,TUR042022,323659,399,1.23
Kulu,584,TUR042023,50667,83,1.63
Meram,585,TUR042024,342315,466,1.36
Sarayonu,586,TUR042025,26875,72,2.67
Merkez42,587,TUR042026,648850,377,.58
Seydisehir,588,TUR042027,64687,127,1.96
Taskent,589,TUR042028,7635,33,4.32
Tuzlukcu,590,TUR042029,7280,22,3.02
Yalihuyuk,591,TUR042030,1785,6,3.36
Yunak,592,TUR042031,23093,69,2.98
Altintas,593,TUR043001,16803,56,3.33
Aslanapa,594,TUR043002,9224,39,4.22
Cavdarhisar,595,TUR043003,6800,31,4.55
Domanic,596,TUR043004,15181,52,3.42
Dumlupinar,597,TUR043005,2999,14,4.66
Emet,598,TUR043006,19986,74,3.7
Gediz,599,TUR043007,49827,55,1.1
Hisarcik,600,TUR043008,12531,40,3.19
Merkez43,601,TUR043009,266784,316,1.18
Pazarlar,602,TUR043010,5522,18,3.25
Simav,603,TUR043011,64015,216,3.37
Saphane,604,TUR043012,6366,33,5.18
Tavsanli,605,TUR043013,101903,205,2.01
Akcadag,606,TUR044001,35359,74,2.09
Arapgir,607,TUR044002,10868,53,4.87
Arguvan,608,TUR044003,8157,13,1.59
Battalgazi,609,TUR044004,295821,206,.6899999999999999
Darende,610,TUR044005,29045,115,3.95
Dogansehir,611,TUR044006,39454,45,1.14
Doganyol,612,TUR044007,4420,23,5.2
Hekimhan,613,TUR044008,22867,60,2.62
KaleM,614,TUR044009,6100,37,6.06
Kuluncak,615,TUR044010,8384,40,4.77
Poturge,616,TUR044011,15049,107,7.11
Yazihan,617,TUR044012,16673,36,2.15
Merkez44,618,TUR044013,304839,178,.58
Ahmetli,619,TUR045001,16530,28,1.69
Akhisar,620,TUR045002,171381,210,1.22
Alasehir,621,TUR045003,104507,141,1.34
Demirci,622,TUR045004,41135,135,3.28
Golmarmara,623,TUR045005,15247,23,1.5
Gordes,624,TUR045006,28182,90,3.19
Kirkagac,625,TUR045007,39790,94,2.36
Koprubasi,626,TUR045008,13347,68,5.09
Kula,627,TUR045009,44410,34,.76
Salihli,628,TUR045010,161562,163,1
Sarigol,629,TUR045011,35957,51,1.41
Saruhanli,630,TUR045012,54660,63,1.15
Soma,631,TUR045014,108981,124,1.13
Selendi,632,TUR045015,20291,101,4.97
Sehzadeler,633,TUR045016,171116,105,.61
Turgutlu,634,TUR045017,163223,102,.62
Merkez45,635,TUR045018,239324,129,.53
Afsin,636,TUR046001,81423,128,1.57
Andirin,637,TUR046002,33193,113,3.4
Caglayancerit,638,TUR046003,23346,32,1.37
Dulkadiroglu,639,TUR046004,222938,239,1.07
Ekinozu,640,TUR046005,11839,43,3.63
Elbistan,641,TUR046006,142548,134,.9399999999999999
Goksun,642,TUR046007,55985,113,2.01
Nurhak,643,TUR046008,12592,9,.71
Merkez46,644,TUR046009,418379,388,.92
Pazarcik,645,TUR046010,68838,72,1.04
Turkoglu,646,TUR046011,73770,85,1.15
Merkez47,647,TUR047001,174731,202,1.15
Dargecit,648,TUR047002,28555,71,2.48
Derik,649,TUR047003,61830,131,2.11
Kiziltepe,650,TUR047004,252656,276,1.09
Mazidagi,651,TUR047005,35757,62,1.73
Midyat,652,TUR047006,113367,176,1.55
Nusaybin,653,TUR047007,105856,126,1.19
Omerli,654,TUR047008,14233,59,4.14
Savur,655,TUR047009,27304,61,2.23
Yesilli,656,TUR047010,14906,19,1.27
Bodrum,657,TUR048001,171850,90,.52
Dalaman,658,TUR048002,41351,57,1.37
Datca,659,TUR048003,22261,20,.89
Fethiye,660,TUR048004,157745,114,.72
Kavaklidere,661,TUR048005,10898,31,2.84
Koycegiz,662,TUR048006,36389,48,1.31
Marmaris,663,TUR048007,94247,41,.43
Merkez48,664,TUR048008,112447,147,1.3
Milas,665,TUR048009,139446,181,1.29
Ortaca,666,TUR048010,48373,40,.82
Seydikemer,667,TUR048011,62246,190,3.05
Ula,668,TUR048012,25294,48,1.89
Yatagan,669,TUR048013,44940,89,1.98
Bulanik,670,TUR049001,80540,115,1.42
Haskoy,671,TUR049002,25749,27,1.04
Korkut,672,TUR049003,25817,48,1.85
Malazgirt,673,TUR049004,51323,112,2.18
Merkez49,674,TUR049005,193394,231,1.19
Varto,675,TUR049006,31169,85,2.72
Acigol,676,TUR050001,19561,45,2.3
Avanos,677,TUR050002,32618,63,1.93
Derinkuyu,678,TUR050003,20786,23,1.1
Gulsehir,679,TUR050004,21771,59,2.71
Hacibektas,680,TUR050005,11487,38,3.3
Kozakli,681,TUR050006,13570,48,3.53
Merkez50,682,TUR050007,143194,54,.37
Urgup,683,TUR050008,35352,80,2.26
Altunhisar,684,TUR051001,15463,30,1.94
Bor,685,TUR051002,60335,97,1.6
Camardi,686,TUR051003,13200,42,3.18
Ciftlik,687,TUR051004,28168,28,.99
Merkez51,688,TUR051005,224289,190,.84
Ulukisla,689,TUR051006,23252,55,2.36
Akkus,690,TUR052001,23369,127,5.43
Merkez52,691,TUR052002,200807,222,1.1
Aybasti,692,TUR052003,22783,123,5.39
Camas,693,TUR052004,11851,55,4.64
Catalpinar,694,TUR052005,14954,52,3.47
Caybasi,695,TUR052006,13922,49,3.51
Fatsa,696,TUR052007,116154,245,2.1
Golkoy,697,TUR052008,29852,99,3.31
Gulyali,698,TUR052009,8904,23,2.58
Gurgentepe,699,TUR052010,16929,41,2.42
Ikizce,700,TUR052011,16451,69,4.19
Kabaduz,701,TUR052012,9619,37,3.84
Kabatas,702,TUR052013,11375,54,4.74
Korgan,703,TUR052014,30545,135,4.41
Kumru,704,TUR052015,31438,139,4.42
Mesudiye,705,TUR052016,26287,127,4.83
Persembe,706,TUR052017,33253,126,3.78
Ulubey,707,TUR052018,26737,92,3.44
Unye,708,TUR052019,126702,307,2.42
Ardesen,709,TUR053001,41084,104,2.53
Camlihemsin,710,TUR053002,8121,52,6.4
Cayeli,711,TUR053003,44304,188,4.24
Derepazari,712,TUR053004,9365,28,2.98
Findikli,713,TUR053005,16902,61,3.6
Guneysu,714,TUR053006,16750,83,4.95
Hemsin,715,TUR053007,2817,18,6.38
Ikizdere,716,TUR053008,9809,106,10.8
Iyidere,717,TUR053009,10018,31,3.09
Kalkandere,718,TUR053010,16768,63,3.75
Pazar,719,TUR053011,31527,98,3.1
Merkez53,720,TUR053012,141143,256,1.81
Merkez54,721,TUR054001,271515,179,.65
Akyazi,722,TUR054002,89301,165,1.84
Arifiye,723,TUR054003,44315,55,1.24
Erenler,724,TUR054004,87197,68,.77
Ferizli,725,TUR054005,26692,37,1.38
Geyve,726,TUR054006,49760,140,2.81
Hendek,727,TUR054007,84099,162,1.92
Karapurcek,728,TUR054008,13041,23,1.76
Karasu,729,TUR054009,64124,82,1.27
Kaynarca,730,TUR054010,24255,119,4.9
Kocaali,731,TUR054011,25497,67,2.62
